Stem Height (m),Plot Mean Stem Height (m),All Plant Density (plants/m^2),Mean Albany & Schenectady Wind Speed (mph),Roughness Length (m)
1.210,1.156,141.4,8.10,0.645
1.210,1.156,141.4,8.10,0.610
1.210,1.156,141.4,8.10,0.650
1.130,1.156,164.9,8.10,0.830
1.130,1.156,164.9,8.10,0.840
1.130,1.156,164.9,8.10,0.820
1.190,1.156,126.9,8.10,0.770
1.190,1.156,126.9,8.10,0.775
1.190,1.156,126.9,8.10,0.790
0.900,0.945,128.7,6.95,0.665
0.900,0.945,128.7,6.95,0.710
0.900,0.945,128.7,6.95,0.690
0.880,0.945,61.6,6.95,0.770
0.880,0.945,61.6,6.95,0.790
0.880,0.945,61.6,6.95,0.780
0.840,0.945,116.0,6.95,0.820
0.840,0.945,116.0,6.95,0.860
0.840,0.945,116.0,6.95,0.850
0.770,0.888,123.2,10.40,0.860
0.770,0.888,123.2,10.40,0.850
0.770,0.888,123.2,10.40,0.880
0.895,0.888,76.1,10.40,0.880
0.895,0.888,76.1,10.40,0.870
0.895,0.888,76.1,10.40,0.860
0.705,0.888,74.3,10.40,0.505
0.705,0.888,74.3,10.40,0.515
0.705,0.888,74.3,10.40,0.500
0.980,0.888,92.4,10.40,0.670
0.980,0.888,92.4,10.40,0.670
0.980,0.888,92.4,10.40,0.680
0.850,0.888,106.9,10.40,0.815
0.850,0.888,106.9,10.40,0.835
0.850,0.888,106.9,10.40,0.840
0.970,1.096,67.1,9.20,1.040
0.970,1.096,67.1,9.20,1.020
1.025,1.096,170.4,9.20,0.820
1.025,1.096,170.4,9.20,0.750
1.025,1.096,170.4,9.20,0.760
1.080,1.096,210.2,9.20,1.035
1.080,1.096,210.2,9.20,1.040
1.080,1.096,210.2,9.20,1.005
0.850,0.877,128.7,13.80,0.640
0.850,0.877,128.7,13.80,0.660
0.850,0.877,128.7,13.80,0.620
0.880,0.877,150.4,13.80,0.740
0.880,0.877,150.4,13.80,0.760
0.880,0.877,150.4,13.80,0.766
0.840,0.877,139.5,13.80,0.670
0.840,0.877,139.5,13.80,0.620
0.840,0.877,139.5,13.80,0.620
0.910,0.877,168.5,13.80,0.750
0.910,0.877,168.5,13.80,0.740
0.910,0.877,168.5,13.80,0.730
0.745,0.877,166.7,13.80,0.670
0.745,0.877,166.7,13.80,0.675
0.745,0.877,166.7,13.80,0.740
0.680,0.684,106.9,8.65,0.620
0.435,0.684,137.7,8.65,0.650
0.435,0.684,137.7,8.65,0.655
0.795,0.684,99.7,8.65,0.670
0.795,0.684,99.7,8.65,0.660
0.795,0.684,99.7,8.65,0.655
0.685,0.684,130.5,8.65,0.630
0.685,0.684,130.5,8.65,0.605
0.685,0.684,130.5,8.65,0.610
1.260,1.210,96.0,14.95,1.010
1.260,1.210,96.0,14.95,1.000
1.260,1.210,96.0,14.95,1.020
1.200,1.210,132.3,14.95,0.104
1.200,1.210,132.3,14.95,1.055
1.200,1.210,132.3,14.95,1.050
1.160,1.210,125.0,14.95,0.935
1.160,1.210,125.0,14.95,0.950
1.160,1.210,125.0,14.95,0.920
1.120,1.210,135.9,14.95,1.090
1.120,1.210,135.9,14.95,1.080
1.120,1.210,135.9,14.95,1.090
1.145,1.210,90.6,14.95,0.980
1.145,1.210,90.6,14.95,0.990
1.145,1.210,90.6,14.95,0.950
0.865,0.896,121.4,9.20,0.760
0.865,0.896,121.4,9.20,0.740
0.865,0.896,121.4,9.20,0.730
0.815,0.896,135.9,9.20,0.740
0.815,0.896,135.9,9.20,0.730
0.815,0.896,135.9,9.20,0.700
0.885,0.896,126.9,9.20,0.700
0.885,0.896,126.9,9.20,0.710
0.885,0.896,126.9,9.20,0.700
0.885,0.896,126.9,9.20,0.720
0.885,0.896,126.9,9.20,0.730
0.885,0.896,126.9,9.20,0.715
0.730,0.896,215.7,9.20,0.730
0.730,0.896,215.7,9.20,0.740
0.730,0.896,215.7,9.20,0.745
0.730,0.853,50.7,9.20,0.630
0.730,0.853,50.7,9.20,0.635
0.730,0.853,50.7,9.20,0.660
0.740,0.853,101.5,9.20,0.725
0.740,0.853,101.5,9.20,0.715
0.740,0.853,101.5,9.20,0.700
0.950,0.853,65.2,9.20,0.555
0.950,0.853,65.2,9.20,0.555
0.950,0.853,65.2,9.20,0.560
0.770,0.853,152.2,9.20,0.745
0.770,0.853,152.2,9.20,0.725
0.770,0.853,152.2,9.20,0.715
1.325,1.467,130.5,10.35,1.060
1.325,1.467,130.5,10.35,1.040
1.325,1.467,130.5,10.35,1.060
1.385,1.467,74.3,10.35,1.300
1.385,1.467,74.3,10.35,1.210
1.385,1.467,74.3,10.35,1.220
1.415,1.467,61.6,10.35,1.155
1.415,1.467,61.6,10.35,1.130
1.415,1.467,61.6,10.35,1.150
1.000,0.936,96.0,12.65,0.850
1.000,0.936,96.0,12.65,0.870
1.000,0.936,96.0,12.65,0.900
0.910,0.936,101.5,12.65,0.810
0.910,0.936,101.5,12.65,0.840
0.910,0.936,101.5,12.65,0.810
0.890,0.936,99.7,12.65,0.840
0.890,0.936,99.7,12.65,0.810
0.890,0.936,99.7,12.65,0.870
0.780,0.936,103.3,12.65,0.700
0.780,0.936,103.3,12.65,0.685
0.780,0.936,103.3,12.65,0.655
1.105,0.916,76.1,11.55,0.730
1.105,0.916,76.1,11.55,0.770
1.105,0.916,76.1,11.55,0.850
0.700,0.916,94.2,11.55,0.555
0.700,0.916,94.2,11.55,0.560
0.700,0.916,94.2,11.55,0.550
0.885,0.916,85.2,11.55,0.495
0.885,0.916,85.2,11.55,0.500
0.885,0.916,85.2,11.55,0.505
0.895,0.916,88.8,11.55,0.720
0.895,0.916,88.8,11.55,0.750
0.895,0.916,88.8,11.55,0.740
0.780,0.916,92.4,11.55,0.700
0.780,0.916,92.4,11.55,0.745
0.780,0.916,92.4,11.55,0.740
1.255,1.230,83.4,6.35,1.195
1.255,1.230,83.4,6.35,1.110
1.255,1.230,83.4,6.35,1.125
1.230,1.230,87.0,6.35,1.117
1.230,1.230,87.0,6.35,1.145
1.230,1.230,87.0,6.35,1.150
1.280,1.230,68.9,6.35,1.280
1.280,1.230,68.9,6.35,1.220
1.280,1.230,68.9,6.35,1.200
0.980,1.230,103.3,6.35,1.000
0.980,1.230,103.3,6.35,1.050
1.055,1.031,65.2,5.20,0.730
1.055,1.031,65.2,5.20,0.715
1.055,1.031,65.2,5.20,0.750
0.990,1.031,114.2,5.20,0.970
0.990,1.031,114.2,5.20,0.980
0.990,1.031,114.2,5.20,0.930
0.965,1.031,126.9,5.20,0.990
0.965,1.031,126.9,5.20,1.000
0.960,1.031,123.2,5.20,0.860
0.960,1.031,123.2,5.20,0.885
0.960,1.031,123.2,5.20,0.860
1.030,1.031,135.9,5.20,0.880
1.030,1.031,135.9,5.20,0.750
1.030,1.031,135.9,5.20,0.860
1.230,0.921,58.0,6.90,0.900
1.230,0.921,58.0,6.90,0.910
0.580,0.921,70.7,6.90,0.900
0.580,0.921,70.7,6.90,0.900
0.580,0.921,70.7,6.90,0.850
0.840,0.921,81.6,6.90,0.725
0.840,0.921,81.6,6.90,0.715
0.840,0.921,81.6,6.90,0.740
0.945,0.921,79.7,6.90,0.780
0.945,0.921,79.7,6.90,0.750
0.945,0.921,79.7,6.90,0.750
